notion_page_id,notion_url,created_time,last_edited_time,archived,in_trash,Core Problem,Business Model,Region,Type,Pricing,Target User,UX Notes,Main Features,Content Strategy,Benchmark Point,Website/App URL,Strengths,Weaknesses,Priority,Status,Score,Name
38e7fcdc-6320-8104-957b-cf0df414d5ff,https://app.notion.com/p/Focusmate-38e7fcdc63208104957bcf0df414d5ff,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Difficulty focusing alone and following through on intentions.,Freemium; Subscription,Global,App,Freemium / subscription. Needs current pricing verification.,"Remote workers, students, freelancers, ADHD users, and procrastinators.",Body-doubling converts focus into a social appointment.,"Virtual co-working, scheduled focus sessions, accountability partner.",Strong story angle: strangers helping each other focus.,Use social accountability to overcome procrastination.,https://www.focusmate.com/,"Solves motivation through social accountability, not just tools.",Requires video/session commitment; not ideal for all users.,Medium,Reviewed,84,Focusmate
38e7fcdc-6320-810e-b9a4-f621115d3ccd,https://app.notion.com/p/Todoist-38e7fcdc6320810eb9a4f621115d3ccd,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Need to capture, organize, and complete tasks across life/work.",Freemium; Subscription; B2B,Global,App,Freemium / Pro / Business. Needs current verification.,"Individuals, teams, students, knowledge workers.",Great baseline for task management; not enough for emotional LifeOS position.,"Tasks, projects, labels, filters, natural language input, templates.",Strong SEO/template ecosystem.,Templates and natural-language task capture.,https://todoist.com/,"Mature ecosystem, templates, broad adoption.",Task completion does not equal meaningful day.,Medium,Reviewed,78,Todoist
38e7fcdc-6320-8117-881c-dc6157eadc4c,https://app.notion.com/p/TickTick-38e7fcdc63208117881cdc6157eadc4c,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Need combined tasks, calendar, focus, and habit tracking.",Freemium; Subscription,Global,App,Freemium / Premium. Needs current verification.,Users wanting all-in-one productivity.,Good all-in-one competitor benchmark.,"To-do, calendar, habit tracker, Pomodoro, reminders.",Productivity tutorial and workflow content potential.,All-in-one productivity feature bundling.,https://www.ticktick.com/,Broad feature integration across productivity categories.,Can feel feature-heavy rather than emotionally focused.,Medium,Reviewed,80,TickTick
38e7fcdc-6320-8139-9ddd-f9adbc0b085e,https://app.notion.com/p/Reflectly-38e7fcdc632081399dddf9adbc0b085e,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,People need emotional reflection and journaling support.,Freemium; Subscription,Global,App,Needs verification.,Users interested in AI-guided journaling and mood reflection.,Guided prompts reduce blank-page friction.,"Mood journal, guided prompts, AI-like reflection, statistics.",Prompt-based self-reflection content.,Use guided prompts to convert reflection into insight.,https://reflectly.app/,Good reference for conversational/guided journaling.,Needs updated verification; AI journal market is crowded.,Low,To Review,62,Reflectly
38e7fcdc-6320-8145-aa38-c637b042dc45,https://app.notion.com/p/Morgen-38e7fcdc63208145aa38c637b042dc45,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Calendars and tasks are fragmented across tools.,Freemium; Subscription,Global,App,Freemium / paid. Needs current verification.,Professionals and personal productivity users.,Calendar as operating system reference.,"Calendar, tasks, scheduling, AI planning, integrations.",AI planning and calendar workflow content.,Calendar-centered LifeOS architecture inspiration.,https://www.morgen.so/,Calendar-centric daily planning and task integration.,More productivity utility than habit/emotional wellness.,Medium,Reviewed,72,Morgen
38e7fcdc-6320-814c-ac4b-cf1563caefa4,https://app.notion.com/p/Way-of-Life-38e7fcdc6320814cac4bcf1563caefa4,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Need for fast daily habit logging and trend awareness.,Freemium; One-time Purchase,Global,App,Needs current pricing verification.,Users who want ultra-simple daily tracking.,Color-based logs allow fast daily self-review.,"Color-coded habit logging, reminders, charts, trend notes.",Good benchmark for simplicity in daily check-ins.,"Make daily recording take seconds, not minutes.",https://wayoflifeapp.com/,Very low-friction check-in model.,Less differentiated as a broader LifeOS product.,Medium,Reviewed,78,Way of Life
38e7fcdc-6320-8154-9129-cf7d5a047054,https://app.notion.com/p/Motion-38e7fcdc632081549129cf7d5a047054,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Manual scheduling and prioritization overwhelm users.,Subscription; B2B,Global,App,Subscription. Needs current verification.,"Professionals, founders, teams, and productivity power users.",Automatic planning may inspire AI routine coach ideas.,"AI calendar, task prioritization, scheduling automation, project management.",AI productivity and automation content.,AI-generated daily plans and schedule optimization.,https://www.usemotion.com/,Strong AI planner positioning.,Business/productivity heavy; less emotional wellbeing.,Medium,Reviewed,76,Motion
38e7fcdc-6320-8159-963a-e1fde369d7f3,https://app.notion.com/p/5-Minute-Journal-38e7fcdc63208159963ae1fde369d7f3,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,People want a short gratitude/reflection ritual without long journaling.,Subscription; Book Sales,Global,App,App/book ecosystem. Needs verification.,Self-improvement users wanting quick morning/evening reflection.,Excellent reference for daily beginning/end ritual.,"Morning/evening prompts, gratitude, affirmations, daily reflection.",Book/app/content flywheel is relevant for our company model.,Create a repeatable daily ritual around reflection.,https://www.intelligentchange.com/pages/five-minute-journal-app,Strong ritual and publishing/product ecosystem.,May feel generic without stronger LifeOS integration.,Medium,Reviewed,80,5 Minute Journal
38e7fcdc-6320-8160-843f-c6055af6980b,https://app.notion.com/p/Coach-me-38e7fcdc63208160843fc6055af6980b,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Habit formation often needs human accountability and coaching.,Coaching; Subscription,Global,App,Coaching-based. Needs current verification.,Users willing to pay for coaching and accountability.,Good BM benchmark for human-assisted self-improvement.,"Habit tracking, coaching, accountability, expert support.",Coaching success stories and transformation content.,App-to-coaching business model expansion.,https://www.coach.me/,Connects software habit tracking to human coaching monetization.,Coaching marketplace quality may vary; operationally heavier.,Medium,Reviewed,74,Coach.me
38e7fcdc-6320-8160-9dbb-db52aa5ed548,https://app.notion.com/p/Fabulous-38e7fcdc632081609dbbdb52aa5ed548,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Difficulty building lasting routines and healthy habits.,Subscription,Global,App,Premium subscription. Needs current pricing verification.,People who want structured behavior-change coaching.,"Feels like a life coach, not just a tracker.","Habit journeys, coaching, routines, challenges, behavior science framing.",Strong self-improvement and transformation narrative.,Turn habit formation into guided life-coaching journeys.,https://www.thefabulous.co/,"Strong narrative, coaching, and behavior design.",May feel prescriptive or heavy for users wanting simple tools.,High,Useful,93,Fabulous
38e7fcdc-6320-8161-8520-c8c227242fe4,https://app.notion.com/p/Productive-38e7fcdc632081618520c8c227242fe4,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Need to build routines and track habits in a polished mobile UX.,Freemium; Subscription,Global,App,Needs verification.,Mobile-first users looking for a habit tracker.,Likely useful as visual/mobile UX benchmark.,"Habit tracking, reminders, routine planning, progress visualization.",Habit and routine-oriented content.,Study polished mobile habit tracker UX.,https://productiveapp.io/,Polished habit UX candidate.,Needs current official verification and deeper review.,Low,To Review,65,Productive
38e7fcdc-6320-816d-8ca3-de8e58762070,https://app.notion.com/p/Calm-38e7fcdc6320816d8ca3de8e58762070,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Stress, sleep, and relaxation routines are hard to maintain.",Subscription; B2B,Global,Company,Subscription / enterprise. Needs current verification.,Consumers and organizations seeking meditation/sleep content.,Content IP can drive retention beyond utility features.,"Meditation, sleep stories, music, soundscapes, breathing, B2B.",Sleep stories and soundscapes show content monetization power.,Build repeat-use content assets around daily states.,https://www.calm.com/,Strong sleep content IP and premium relaxation brand.,Less about productivity/meaningful day than wellness content.,Medium,Reviewed,84,Calm
38e7fcdc-6320-816f-bd77-f1a93421a6e5,https://app.notion.com/p/Habitify-38e7fcdc6320816fbd77f1a93421a6e5,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Need for organized habit tracking, reminders, and progress analytics.",Freemium; Subscription,Global,App,Freemium / premium. Needs current pricing verification.,Habit-oriented users who want a clean tracker and statistics.,Clean system for habits and progress review.,"Habit tracking, routines, reminders, challenges, analytics, integrations.",Useful for habit challenge and routine education content.,"Combine habit tracking, challenges, and analytics cleanly.",https://www.habitify.me/,Balanced core habit tracker with statistics and challenge features.,Can become another checklist without emotional meaning.,High,Useful,90,Habitify
38e7fcdc-6320-8171-ac0c-d37b9a8a4157,https://app.notion.com/p/HabitNow-38e7fcdc63208171ac0cd37b9a8a4157,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Need combined habit, routine, and task organization.",Freemium,Global,App,Needs verification.,Users wanting a practical habit/routine planner.,Good functional competitor in habit/routine space.,"Habits, tasks, routines, reminders, statistics.","Utility-oriented, less media-brand oriented.",Map common habit/routine feature baseline.,https://habitnow.app/,Practical all-in-one habit utility.,Less differentiated as a brand.,Low,To Review,58,HabitNow
38e7fcdc-6320-8173-8873-d06fc0e32846,https://app.notion.com/p/Structured-38e7fcdc632081738873d06fc0e32846,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Daily tasks and schedules feel scattered and hard to visualize.,Freemium; Subscription,Global,App,Freemium / Pro. Needs current verification.,"Students, professionals, ADHD users, and routine planners.",Turns a day into a clear timeline.,"Daily timeline, tasks, calendar integration, reminders, planning.",Strong for 'plan my day with me' content.,Visualize the day as a designed timeline.,https://structured.app/,Excellent visual daily timeline; close to meaningful-day planning.,May focus on planning rather than reflection/meaning.,High,Useful,91,Structured
38e7fcdc-6320-8185-90ef-f1f38361afe8,https://app.notion.com/p/AppBlock-38e7fcdc6320818590eff1f38361afe8,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Distracting app and website usage.,Freemium; Subscription,Global,App,Needs verification.,Users needing strict app/web blocking profiles.,Useful benchmark for strictness and profile-based blocking.,"App blocking, website blocking, schedules, strict mode, profiles.",More utility/productivity than emotional brand.,Strict blocking profiles and schedule-based app control.,https://appblock.app/,Strong functional blocking feature set.,Less distinctive as a brand/lifestyle system.,Medium,To Review,74,AppBlock
38e7fcdc-6320-8193-8cbb-f1df28eeff99,https://app.notion.com/p/Balance-38e7fcdc632081938cbbf1df28eeff99,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Generic meditation does not feel personal enough.,Subscription,Global,App,Subscription. Needs verification.,People seeking personalized meditation and mindfulness training.,Onboarding can tailor routines to personal goals.,"Personalized meditation plans, sleep, focus, stress support.",Personalized mindfulness journey content.,Use onboarding to personalize daily wellness programs.,https://www.balanceapp.com/,Personalization angle is relevant to AI routine coach ideas.,"Meditation-focused, not full daily operating system.",Medium,Reviewed,76,Balance
38e7fcdc-6320-819c-801e-ee18b6c14946,https://app.notion.com/p/Daylio-38e7fcdc6320819c801eee18b6c14946,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Journaling has too much friction for daily use.,Freemium; Subscription,Global,App,Freemium / premium. Needs current verification.,People who want simple mood and activity tracking without writing.,Tap-based logging is a key benchmark for low-friction daily check-ins.,"Mood tracking, activity icons, statistics, calendar, goals.",Good for mood/routine insights and visual recap content.,Make daily reflection almost effortless.,https://daylio.net/,Very low-friction emotional logging.,Reflection may not always convert into behavior change.,High,Useful,90,Daylio
38e7fcdc-6320-81a3-81ec-f1a42520914d,https://app.notion.com/p/Loop-Habit-Tracker-38e7fcdc632081a381ecf1a42520914d,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Need a free/open habit tracker without heavy monetization.,Freemium,Global,App,Free / open-source. Needs verification.,Android users and open-source-oriented habit trackers.,Good reference for basic habit score/stat model.,"Habit tracking, statistics, reminders, open-source Android app.",Less content-driven; more utility reference.,Understand the baseline free habit tracker experience.,https://loophabits.org/,"Simple, trustworthy, no-friction habit tracking.",Less brand/lifestyle expansion potential.,Low,To Review,58,Loop Habit Tracker
38e7fcdc-6320-81a5-9543-cc038033bf9b,https://app.notion.com/p/Day-One-38e7fcdc632081a59543cc038033bf9b,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,People want to preserve meaningful life memories and reflections.,Freemium; Subscription,Global,App,Freemium / premium. Needs current verification.,"Journalers, life-loggers, writers, and self-reflection users.",High-quality personal archive UX.,"Text/photo/audio/video journal, location, sync, templates.","Strong storytelling, memory, and life reflection angle.",Turn daily life into a long-term personal archive.,https://dayoneapp.com/,Premium life-logging and memory archive positioning.,More recording than behavior change.,Medium,Reviewed,78,Day One
